raceId;driverId;positionOrder;points;laps;fastestLap;rank;fastestLapTime;fastestLapSpeed
18;1;1;10;58;39;2;87;218
18;2;2;8;58;41;3;87;217
18;3;3;6;58;41;5;88;216
18;4;4;5;58;58;7;88;215
18;5;5;4;58;43;1;87;218
18;6;6;3;57;50;14;89;212
18;7;7;2;55;22;12;89;213
18;8;8;1;53;20;4;87;217
18;9;9;0;47;15;9;88;215
18;10;10;0;43;23;13;89;213
18;11;11;0;32;24;15;90;210
18;12;12;0;30;20;16;91;208
18;13;13;0;29;23;6;88;216
18;14;14;0;25;21;11;89;213
18;15;15;0;19;18;10;89;213
18;16;16;0;8;8;17;92;207
18;17;17;0;0;;;0;
18;18;18;0;0;;;0;
18;19;19;0;0;;;0;
18;20;20;0;0;;;0;
18;21;21;0;0;;;0;
18;22;22;0;58;44;8;88;215
19;8;1;10;56;37;2;95;209
19;9;2;8;56;39;6;95;208
19;5;3;6;56;19;7;95;208
19;15;4;5;56;53;8;96;207
19;1;5;4;56;53;3;95;209
19;2;6;3;56;55;1;95;209
19;17;7;2;56;53;12;96;206
19;4;8;1;56;40;10;96;207
19;14;9;0;56;55;9;96;207
19;18;10;0;56;56;4;95;208
19;12;11;0;56;52;15;97;205
19;21;12;0;55;52;16;97;205
19;22;13;0;55;55;11;96;206
19;3;14;0;55;55;13;96;206
19;19;15;0;55;55;18;98;203
19;11;16;0;54;53;19;98;202
19;6;17;0;54;19;17;97;204
19;20;18;0;39;37;14;96;205
19;13;19;0;30;15;5;95;208
19;16;20;0;5;3;20;100;198
19;10;21;0;1;;;0;
19;7;22;0;0;;;0;
20;13;1;10;57;38;3;93;208
20;8;2;8;57;35;4;93;207
20;9;3;6;57;55;5;93;207
20;2;4;5;57;48;2;93;208
20;5;5;4;57;49;1;93;209
20;15;6;3;57;45;7;94;206
20;17;7;2;57;51;8;94;206
20;3;8;1;57;57;6;94;207
20;10;9;0;57;56;9;94;205
20;4;10;0;57;35;13;95;204
20;22;11;0;57;40;10;94;205
20;21;12;0;56;56;11;95;204
20;1;13;0;56;25;19;95;203
20;6;14;0;56;30;17;95;204
20;7;15;0;56;33;15;95;204
20;19;16;0;56;45;14;95;204
20;11;17;0;56;56;20;95;203
20;14;18;0;56;43;16;95;204
20;16;19;0;56;55;18;95;204
20;12;20;0;40;31;12;95;204
